


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
               700    0.4573364258     2.7623569673
               701    0.4572753906     2.7623604877
               702    0.4572143555     2.7623640108
               703    0.4571533203     2.7623675366
               704    0.4570922852     2.7623710652
               705    0.4570312500     2.7623745965
               706    0.4569702148     2.7623781304
               707    0.4569091797     2.7623816672
               708    0.4568481445     2.7623852066
               709    0.4567871094     2.7623887488
               710    0.4567260742     2.7623922937
               711    0.4566650391     2.7623958413
               712    0.4566040039     2.7623993917
               713    0.4565429688     2.7624029448
               714    0.4564819336     2.7624065006
               715    0.4564208984     2.7624100592
               716    0.4563598633     2.7624136205
               717    0.4562988281     2.7624171846
               718    0.4562377930     2.7624207514
               719    0.4561767578     2.7624243210
               720    0.4561157227     2.7624278933
               721    0.4560546875     2.7624314684
               722    0.4559936523     2.7624350462
               723    0.4559326172     2.7624386268
               724    0.4558715820     2.7624422101
               725    0.4558105469     2.7624457963
               726    0.4557495117     2.7624493851
               727    0.4556884766     2.7624529768
               728    0.4556274414     2.7624565712
               729    0.4555664062     2.7624601683
               730    0.4555053711     2.7624637683
               731    0.4554443359     2.7624673710
               732    0.4553833008     2.7624709765
               733    0.4553222656     2.7624745848
               734    0.4552612305     2.7624781959
               735    0.4552001953     2.7624818097
               736    0.4551391602     2.7624854263
               737    0.4550781250     2.7624890458
               738    0.4550170898     2.7624926680
               739    0.4549560547     2.7624962930
               740    0.4548950195     2.7624999208
               741    0.4548339844     2.7625035514
               742    0.4547729492     2.7625071848
               743    0.4547119141     2.7625108209
               744    0.4546508789     2.7625144599
               745    0.4545898438     2.7625181018
               746    0.4545288086     2.7625217463
               747    0.4544677734     2.7625253938
               748    0.4544067383     2.7625290440
               749    0.4543457031     2.7625326970
               750    0.4542846680     2.7625363529
               751    0.4542236328     2.7625400116
               752    0.4541625977     2.7625436731
               753    0.4541015625     2.7625473374
               754    0.4540405273     2.7625510045
               755    0.4539794922     2.7625546745
               756    0.4539184570     2.7625583473
               757    0.4538574219     2.7625620230
               758    0.4537963867     2.7625657014
               759    0.4537353516     2.7625693827
               760    0.4536743164     2.7625730669
               761    0.4536132812     2.7625767538
               762    0.4535522461     2.7625804437
               763    0.4534912109     2.7625841363
               764    0.4534301758     2.7625878319
               765    0.4533691406     2.7625915302
               766    0.4533081055     2.7625952315
               767    0.4532470703     2.7625989355
               768    0.4531860352     2.7626026425
               769    0.4531250000     2.7626063522
               770    0.4530639648     2.7626100649
               771    0.4530029297     2.7626137804
               772    0.4529418945     2.7626174988
               773    0.4528808594     2.7626212200
               774    0.4528198242     2.7626249441
               775    0.4527587891     2.7626286711
               776    0.4526977539     2.7626324010
               777    0.4526367188     2.7626361337
               778    0.4525756836     2.7626398693
               779    0.4525146484     2.7626436078
               780    0.4524536133     2.7626473492
               781    0.4523925781     2.7626510934
               782    0.4523315430     2.7626548406
               783    0.4522705078     2.7626585906
               784    0.4522094727     2.7626623436
               785    0.4521484375     2.7626660994
               786    0.4520874023     2.7626698581
               787    0.4520263672     2.7626736197
               788    0.4519653320     2.7626773842
               789    0.4519042969     2.7626811516
               790    0.4518432617     2.7626849220
               791    0.4517822266     2.7626886952
               792    0.4517211914     2.7626924713
               793    0.4516601562     2.7626962504
               794    0.4515991211     2.7627000324
               795    0.4515380859     2.7627038172
               796    0.4514770508     2.7627076050
